country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,18763.177,19265.222,20239.145,20609.7,21833.901,23084.121,24678.383,25720.587,27097.93,28481.005,28886.311,29938.821,32905.358,35373.762,37321.632,40892.19,41867.216,39656.756,38594.025,40022.851,41005.016,42953.317,44220.718,46146.552,49683.007,51841.527,54121.367
India,1260.585,1323.373,1413.303,1522.247,1635.632,1698.113,1788.704,1934.667,2018.37,2129.957,2210.307,2394.524,2611.934,2901.043,3217.986,3573.845,3730.934,4020.226,4424.581,4750.287,5033.975,5371.271,5796.579,6254.95,6697.219,7182.802,7783.893
Indonesia,3417.835,3715.904,4014.556,4362.812,4735.058,4984.908,4327.559,4377.985,4646.85,4856.658,5080.64,5353.319,5696.024,6126.593,6568.549,7070.37,7636.641,7943.141,8432.703,8973.563,9554.342,10108.427,10661.626,11156.893,11719.18,12377.486,13162.464
Iran  (Islamic Republic of),8720.976,8909.794,8834.353,8979.07,9570.851,9520.293,9644.284,9658.949,10381.665,10526.5,11606.426,12735.019,13402.037,14325.787,15307.377,16567.758,16669.803,16583.85,17517.755,18183.549,16890.347,16906.32,17417.074,17107.303,19256.075,20199.588,21241.244
Iraq,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,6331.512,9711.572,9930.045,10547.558,10773.015,11609.745,11799.19,12380.02,13247.836,14986.095,15978.13,15207.687,15712.31,17219.43,16953.891,17428.589
Ireland,15016.188,15642.905,16861.767,18784.056,20723.147,23099.915,25064.974,27842.557,30757.335,32779.404,34780.927,35995.886,38727.556,41369.644,43743.531,45905.457,44259.221,42221.724,43291.161,45359.431,46058.269,47422.422,52133.597,65656.454,69248.282,75538.358,79924.706
Israel,13967.727,14457.111,15402.747,16784.29,17671.505,18245.58,18748.242,19222.18,20818.604,20814.589,20679.796,20944.067,22202.087,23440.685,25091.069,26876.389,27710.026,27662.766,28997.396,30569.21,31235.983,32463.708,33545.999,34116.849,35220.049,36340.084,37673.05
Italy,21614.838,21913.853,22853.342,23864.802,24613.027,25479.5,26159.329,26971.725,28601.612,29752.447,30264.001,30805.385,31916.204,33004.025,34550.935,35855.532,35872,33924.616,34767.344,35544.006,35051.974,34804.562,35310.513,36025.502,36877.166,38140.338,39499.581
Jamaica,5709.309,5925.236,6110.993,6338.031,6408.58,6349.495,6278.962,6376.065,6511.594,6686.45,6778.27,7111.663,7352.393,7609.757,8028.838,8324.701,8385.31,8129.487,8074.874,8319.149,8385.507,8492.319,8647.014,8766.541,8962.864,9162.625,9462.729
Japan,21641.705,21970.645,22598.324,23641.77,24765.245,25399.76,25317.778,25592.204,26850.229,27508.46,27904.892,28843.273,30266.108,31754.903,33196.911,34640.992,34952.083,33346.998,35157.271,35775.296,37059.944,38477.817,39381.087,40392.158,41296.947,42831.523,44426.077
Jordan,4810.366,4953.679,5123.184,5391.417,5451.587,5572.736,5656.014,5792.686,6025.073,6329.417,6638.394,6875.746,7497.471,8180.229,8907.29,9679.322,10353.225,10763.958,10904.753,11169.296,11422.468,11675.585,11986.449,12135.159,12264.495,12494.367,12812.648
Kazakhstan,7196.32,6748.425,6444.521,6087.302,6307.941,6650.634,6697.771,7009.049,7890.101,9168.301,10210.511,11318.399,12641.584,14178.082,15990.803,17676.906,18139.772,18245.027,19530.312,21129.033,22277.896,23644.954,24734.035,24940.131,25167.387,26252.074,27292.575
Kenya,1679.843,1668.48,1696.589,1753.976,1806.269,1791.389,1810.899,1824.699,1822.301,1885.845,1872.244,1912.991,2001.362,2124.037,2255.113,2407.161,2393.886,2424.782,2605.348,2750.211,2842.337,2977.582,3104.124,3227.001,3364.085,3491.123,3663.695
Kiribati,1177.651,1201.109,1230.579,1237.484,1253.133,1277.894,1357.152,1330.871,1418.081,1404.082,1455.42,1486.948,1475.872,1569.988,1582.955,1622.804,1585.498,1576.041,1546.866,1582.804,1664.652,1740.622,1737.904,1912.051,1920.125,1975.809,2026.703
Korea. Republic of,9123.118,9878.791,10907.561,12078.583,13107.596,13989.766,13271.703,14892.397,16452.392,17454.406,18929.844,19770.878,21225.652,22719.95,24501.205,26393.701,27463.503,27724.786,29738.219,31228.513,32362.259,33683.619,35212.004,36394.545,37730.497,39433.779,41387.88
Kosovo,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,4882.972,5561.482,5464.018,5775.078,5739.674,6076.058,6385.453,6998.115,7364.543,7565.049,7787.754,8172.772,8531.198,8930.145,9065.975,9561.07,10070.938,10514.768,11018.536
Kuwait,41775.562,55451.926,49746.871,48207.564,46309.273,45679.949,46556.116,46748.441,50908.279,50100.746,50003.928,56863.252,59851.191,62601.099,65197.399,66421.793,68553.247,63392.279,60946.553,66853.458,71326.313,71150.102,70217.706,66956.425,68539.644,66162.892,66673.036
Kyrgyzstan,1821.6,1595.368,1300.877,1236.596,1329.554,1464.125,1488.061,1544.045,1649.125,1759.987,1770.599,1909.991,2074.747,2115.87,2223.538,2458.208,2666.304,2728.362,2718.906,2900.988,2893.838,3197.5,3317.809,3411.764,3516.978,3667.453,3799.744
Lao People's Democratic Republic,1315.945,1386.814,1491.512,1589.626,1690.258,1798.228,1863.841,1935.683,2071.777,2183.003,2327.855,2478.842,2684.421,2910.917,3222.595,3517.448,3812.097,4065.7,4382.251,4761.361,5153.34,5576.562,6022.036,6430.162,6870.625,7365.891,7932.04
Latvia,5981.301,5441.829,5769.019,6058.982,6394.502,7159.033,7785.493,8184.49,8888.257,9794.718,10800.306,12056.383,13555.348,15672.613,18252.094,20785.248,20599.95,18005.148,17856.418,19816.914,21302.133,22402.051,23487.334,24636.772,25725.311,27644.138,29489.859
Lebanon,6833.46,7281.881,7834.752,8352.462,8740.074,9726.736,10145.875,10080.539,10169.847,10413.889,10441.889,10318.941,10762.089,11032.074,11301.035,12501.636,13771.868,15052.896,16104.344,16429.811,17038.03,17769.597,18450.819,18802.992,19050.341,19439.126,19987.021
Lesotho,1044.184,1083.886,1132.746,1131.128,1218.213,1279,1307.739,1345.478,1439.948,1517.193,1560.836,1652.605,1734.395,1841.27,1993.755,2143.604,2300.863,2385.346,2559.883,2779.84,2962.686,3068.047,3207.695,3295.988,3424.917,3581.29,3713.128
Liberia,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,911.442,929.038,971.11,699.955,743.588,801.895,869.732,996.297,1063.567,1081.5,1116.959,1196.623,1287.722,1387.968,1386.565,1366.103,1329.048,1353.834,1395.913
Libya,21581.244,20796.886,21231.428,18587.555,19063.876,18959.194,18749.62,18824.024,19614.264,19407.681,19224.263,21832.684,23051.117,26236.097,28293.965,30411.36,31293.236,30178.089,31094.034,10792.046,23281.947,14986.552,7175.473,6246.305,5800.653,9986.274,11774.257
Lithuania,Nan,Nan,Nan,6786.098,7327.5,8130.604,8896.958,8994.281,9618.823,10566.501,11546.359,13123.836,14530.243,16422.144,18472.705,21318.629,22538.741,19561.612,20551.714,22751.693,24382.43,25903.814,27537.254,28670.64,30097.262,32298.859,34596.309
Luxembourg,41943.222,44115.336,46104,47516.046,48412.342,51501.63,54757.416,59529.387,65079.366,67331.58,70249.302,72126.925,75663.416,79479.889,84721.728,92837.294,91976.767,86893.605,90661.647,92969.886,92102.187,94823.716,99738.279,101255.172,103286.389,106373.783,110870.226
Macao SAR,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,34548.752,37852.422,42510.673,53457.011,56959.767,62749.822,70345.658,72661.224,75151.757,93528.228,115105.362,122619.678,132738.777,127475.934,99376.623,100069.644,111629.024,122489.836
Madagascar,1012.381,1026.428,1016.021,1022.262,1030.397,1052.879,1071.519,1103.774,1143.103,1201.604,1036.723,1126.58,1182.877,1242.146,1311.03,1392.033,1479.187,1380.564,1362.301,1371.649,1399.514,1414.17,1446.452,1466.417,1504.941,1551.23,1622.176
Malawi,462.762,516.634,470.019,539.362,592.3,626.505,622.679,637.037,640.456,614.456,611.594,645.024,683.742,714.413,749.67,820.311,875.64,929.012,976.87,1016.166,1024.884,1064.92,1113.747,1126.589,1134.198,1167.176,1200.889
Malaysia,8167.08,8938.46,9702.192,10594.045,11563.973,12306.793,11233.728,11800.564,12788.757,12805.365,13368.353,14086.428,15106.422,16014.814,17198.399,18582.231,19502.463,19020.946,20335.835,21498.393,22742.219,23630.682,25088.807,26228.1,27292.112,29040.835,30857.819
Maldives,3864.67,4059.662,4341.382,4670.24,5076.923,5582.531,6069.213,6475.585,6835.851,7079.025,7501.671,9442.183,10121.685,8916.567,11358.682,12364.957,13597.486,12581.435,13413.333,14599.384,14963.825,16017.018,17248.447,17532.79,18245.88,19150.662,20227.972
Mali,906.104,935.414,964.995,987.596,1050.463,1090.3,1104.31,1158.868,1151.233,1319.212,1340.202,1446.435,1462.693,1557.651,1626.26,1671.441,1727.306,1763.443,1822.973,1862.94,1826.137,1843.482,1944.647,2016.546,2091.337,2170.082,2255.868
Malta,13704.627,14438.341,15271.336,16515.704,17398.505,18407.975,19101.793,20010.74,20140.078,20587.543,21338.722,22162.264,22731.995,24190.079,25248.988,26906.907,28191.809,27502.817,28609.317,29518.584,30682.345,32246.964,34921.06,37884.798,39510.23,41944.784,44670.441
Marshall Islands,Nan,Nan,Nan,Nan,Nan,1871.485,1819.691,1927.812,2062.138,2193.796,2271.102,2301.427,2411.213,2488.772,2643.807,2653.157,2626.479,2827.887,2861.822,3008.397,3139.777,3154.612,3187.681,3271.649,3368.315,3439.314,3524.372
Mauritania,1914.994,2018.848,1943.546,2118.452,2219.098,2105.349,2126.005,2259.447,2235.609,2265.936,2249.881,2363.023,2496.073,2731.252,3453.081,3545.029,3556.263,3454.144,3571.155,3720.489,3910.994,4116.268,4321.299,4304.52,4328.063,4444.35,4564.191
Mauritius,5564.737,5916.095,6204.443,6548.859,6969.354,7398.628,7850.051,8074.977,8847.895,9266.914,9496.104,10191.018,10853.195,11298.001,12114.152,13109.165,14052.103,14551.824,15297.126,16194.268,16976.821,17761.957,18698.038,19536.691,20542.025,21640.308,22909.931
Mexico,9249.522,9572.871,10099.311,9514.586,10194.87,10928.044,11465.98,11815.566,12532.13,12612.59,12640.738,12916.659,13631.857,14234.015,15153.001,15712.867,15984.229,15044.316,15810.959,16522.058,17235.044,17549.427,18170.392,18765.494,19355.823,19902.778,20616.688
Micronesia. Fed. States of,Nan,Nan,Nan,2068.27,2036.9,1942.017,2011.543,2069.401,2213.755,2317.094,2372.679,2465.335,2461.312,2599.373,2689.795,2722.503,2727.745,2796.963,2939.345,3040.208,3052.627,3012.799,2989.906,3133.502,3267.896,3393.368,3516.03
Moldova,2632.664,2669.87,1882.019,1895.929,1822.867,1890.883,1789.135,1758.154,1840.582,2002.165,2197.418,2396.884,2649.279,2948.239,3192.075,3383.216,3725.359,3532.601,3832.941,4179.737,4225.566,4699.884,5017.017,5054.108,5340.372,5660.665,5998.519
Mongolia,2988.984,2935.812,3033.639,3245.581,3330.54,3473.599,3580.244,3697.252,3774.313,3981.929,4197.156,4539.135,5044.973,5482.574,6039.319,6649.083,7187.832,6960.617,7437.44,8802.431,9879.698,11043.065,11948.435,12182.689,12306.91,12978.557,13734.231
Montenegro,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,8032.322,8274.746,8561.412,8950.427,9601.204,10326.327,11558.98,12651.177,13803.58,13073.642,13565.794,14273.414,14129.013,14852.359,15373.754,16057.001,16730.724,17735.699,18681.658
Morocco,2805.053,2799.862,3107.84,2957.024,3335.872,3293.392,3520.939,3564.135,3664.651,3968.79,4100.433,4373.244,4647.799,4891.448,5354.354,5619.005,5992.612,6216.145,6451.802,6845.963,7095.036,7446.283,7691.937,8044.514,8160.183,8566.846,8936.463
Mozambique,237.293,254.607,266.033,268.482,336.623,369.385,407.177,434.545,440.085,493.597,530.172,559.854,603.028,658.301,720.426,772.423,818.48,852.858,895.501,951.825,1010.222,1069.333,1137.366,1192.149,1219.091,1243.616,1274.885
Myanmar,Nan,Nan,Nan,Nan,Nan,Nan,936.487,1041.583,1198.527,1352.584,1527.036,1761.807,2043.526,2380.878,2757.397,3149.707,3304.672,3476.143,3678.784,3932.897,4262.683,4655.783,5074.256,5442.823,5790.311,6243.879,6802.181
Namibia,4638.962,4521.927,4617.029,4769.165,4861.85,4992.852,5051.867,5140.446,5372.886,5621.016,5989.973,6218.309,6699.901,7112.401,7486.41,7959.059,8207.117,8171.348,8641.085,9131.519,9592.024,10103.662,10733.922,11284.401,11334.93,11311.646,11613.326
Nauru,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,3486.475,3622.524,4428.506,3357.157,4523.835,4870.518,5362.899,6047.768,6589.607,8617.484,10933.386,10795.776,11540.025,12001.506,12219.886
Nepal,851.366,880.766,947.977,976.545,1023.199,1071.67,1092.414,1136.493,1210.848,1285.365,1285.147,1341.499,1422.477,1499.72,1579.312,1659.113,1777.232,1853.337,1945.813,2031.087,2142.1,2239.403,2387.291,2464.388,2476.896,2678.934,2842.181
Netherlands,22728.642,23398.248,24454.939,25479.216,26745.551,28225.313,29642.17,31405.163,33243.532,34464.903,34806.466,35434.888,37017.771,38941.65,41484.982,44065.722,45519.874,43910.913,44839.456,46309.036,46491.077,47015.281,48363.713,49780.332,51248.52,53634.564,56435.583
New Zealand,14991.622,15892.559,17071.685,17895.761,18625.221,19307.781,19532.11,20595.847,21811.646,22544.934,23612.564,24742.721,26204.984,27427.868,28714.627,30382.873,30603.597,30566.636,31258.416,32311.411,33543.307,34443.213,35545.536,36681.155,37877.358,38933.786,40118.025
Nicaragua,Nan,Nan,2028.256,2149.458,2283.699,2371.619,2443.964,2613.009,2739.385,2842.949,2868.438,2959.809,3161.241,3358.639,3546.823,3776.229,3931.051,3781.763,3947.229,4231.498,4535.287,4779.772,5040.538,5282.696,5539.828,5848.513,6191.751
Niger,584.431,586.652,602.092,554.697,573.566,566.418,623.571,620.182,599.326,628.276,648.747,685.735,676.454,723.41,761.784,779.282,841.664,813.652,865.611,875.849,967.683,1003.992,1065.915,1086.475,1120.962,1164.094,1213.835
Nigeria,2061.36,2086.081,2078.724,2103.893,2169.378,2209.379,2227.762,2212.747,2324.006,2467.514,2794.368,3037.308,3354.369,3605.684,3860.182,4139.083,4403.024,4678.398,5127.717,5342.436,5521.829,5755.409,6061.677,6121.601,5936.219,5929.203,6026.571
Norway,31183.423,32639.399,34829.27,36850.008,39205.021,41787.729,43083.627,44296.787,46471.396,48322.002,49463.913,50628.954,53771.779,56557.658,59179.77,61908.814,62560.174,61257.153,61601.579,62656.082,64699.877,65673.218,67377.044,68795.863,69807.356,71830.876,74065.041
Oman,24833.671,26085.155,26813.293,27907.801,28534.27,30159.74,30711.26,30724.19,32900.556,34566.655,34141.795,33334.845,34096.823,35410.517,37707.557,39600.201,42761.9,44173.974,46828.05,45561.194,46137.686,44802.221,45316.188,47204,45847.751,45156.85,45723.484
Pakistan,2076.181,2115.122,2198.192,2299.794,2435.946,2460.159,2513.617,2598.123,2699.852,2741.078,2813.444,2931.839,3175.13,3503.451,3751.358,3992.454,4105.375,4064.583,4133.167,4282.089,4437.169,4582.177,4758.075,4907.834,5095.373,5358.346,5676.792
Palau,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,9153.553,9606.455,10310.572,9783.438,10691.278,11047.619,11191.544,11701.948,11455.225,10686.248,11353.455,12410.522,13503.304,13370.786,14299.135,16041.135,15968.153,15934.3,16296.333
Panama,6113.081,6463.244,6649.739,6767.301,7248.595,7690.792,8176.792,8453.502,8704.215,8775.392,8930.795,9310.374,10090.317,10955.99,12032.122,13600.347,14798.903,14890.29,15670.454,17584.802,19234.065,20498.277,21772.306,22916.618,23994.77,25351.3,26979.945
Papua New Guinea,1731.579,2042.877,2153.664,2067.15,2185.849,2029.338,2093.707,2111.945,2056.018,2051.486,2074.219,2156.26,2175.979,2279.898,2348.48,2617.228,2600.356,2735.51,2891.915,2830.265,2860.736,2953.86,3312.547,3540.158,3596.536,3674.949,3789.491
Paraguay,4067.484,4282.412,4514.019,4824.115,4889.677,5080.706,5036.544,4942.892,4839.601,4816.984,4801.079,5017.929,5272.212,5463.796,5804.435,6179.607,6594.318,6280.588,7078.249,7422.695,7352.803,8392.986,8815.095,9040.833,9386.969,9825.866,10350.06
Peru,3494.657,3758.493,4245.241,4584.007,4725.24,5039.493,4996.881,5070.728,5244.748,5315.125,5604.434,5863.555,6227.232,6727.303,7342.428,8011.591,8779.832,8802.894,9516.307,10263.361,10953.916,11631.779,11997.027,12389.733,12918.409,13333.874,13993.598
Philippines,2652.425,2709.314,2822.7,2947.163,3022.204,3161.667,3100.38,3176.144,3390.383,3496.726,3602.386,3781.473,4062.343,4305.771,4578.926,4913.499,5175.344,5182.968,5550.356,5773.739,6122.298,6545.993,6953.292,7331.765,7810.234,8314.648,8893.126
Poland,6540.51,6962.304,7467.475,8136.15,8794.963,9572.045,10152.506,10772.284,11607.883,12018.464,12382.919,13087.865,14148.734,15120.805,16555.833,18207.111,19358.189,20044.644,21083.866,22575.117,23359.984,24068.43,25334.514,26602.346,27741.496,29521.251,31430.02
Portugal,14446.109,14674.459,15185.611,15817.281,16606.698,17559.968,18507.329,19411.141,20460.354,21183.453,21555.652,21698.446,22644.686,23508.947,24563.204,25794.478,26314.946,25700.798,26496.474,26588.373,26093.169,26359.035,27218.065,28130.789,29042.485,30416.504,31964.556
Puerto Rico,16069.928,17094.505,18054.767,19121.361,19761.099,20904.517,22314.005,23442.621,24575.554,27456.545,28446.439,29674.291,31089.803,31497.794,32143.835,32807.168,33026.998,32806.524,33237.925,34195.614,35259.846,36130.974,36939.885,37570.148,37740.908,37338.653,38350.953
Qatar,52007.606,52284.43,53814.209,55575.746,57760.727,73926.915,79959.948,81437.883,86713.375,89418.517,94540.29,95393.316,107098.065,104243.625,115048.441,117000.169,104115.517,111364.316,127226.395,145723.752,146872.236,142543.433,136409.775,129805.273,125159.804,124529.051,128702.788
Romania,6177.288,6456.216,6894.945,7586.205,8074.536,7756.852,7500.851,7563.911,7970.053,8617.829,9462.871,10263.519,11483.732,12427.796,13923.216,15366.231,17368.666,16623.468,16470.799,17233.207,17859.129,18859.668,19855.197,20949.529,22369.287,24508.415,26498.82
Russian Federation,11481.997,10724.254,9562.799,9369.749,9209.851,9516.608,9129.604,9889.014,11169.845,12053.936,12874.573,14156.01,15647.383,17231.533,19248.724,21473.444,23054.441,21411.274,22639.285,24258.59,25591.511,26440.434,27072.469,26658.328,26930.043,27834.093,28957.622
Rwanda,641.503,627.146,401.57,540.656,621.369,693.633,696.118,658.963,666.703,692.085,762.239,774.487,842.115,937.578,1035.941,1119.677,1228.96,1288.684,1357.903,1465.225,1577.342,1640.515,1754.084,1883.929,1973.277,2079.877,2225.195
Saint Kitts and Nevis,10331.072,11023.057,11718.474,12225.473,13029.88,14063.882,14198.297,14801.634,16768.093,17876.239,18221.21,17303.219,18015.692,19825.811,20265.977,20851.024,22237.664,21921.103,21291.057,21283.331,21245.493,22728.629,24035.634,25184.88,26001.393,26845.48,28075.615
Saint Lucia,7281.297,7449.006,7588.785,7725.771,7967.815,7920.87,8383.194,8643.369,8713.596,8512.843,8605.585,9072.116,9885.652,10049.421,10866.719,11135.219,11855.266,12497.506,12366.619,12580.349,12702.597,12822.064,13399.837,13333.51,13871.26,14449.773,15053.992
Saint Vincent and the Grenadines,4273.556,4533.284,4576.893,4991.126,5137.294,5421.971,5726.539,5938.038,6184.253,6431.779,6899.539,7520.251,8047.347,8519.699,9270.73,9766.035,9893.376,9759.387,9638.747,9852.174,10153.848,10564.195,10770.839,10970.58,11189.937,11490.814,11983.044
Samoa,Nan,Nan,Nan,Nan,Nan,Nan,2895.238,2907.833,3110.158,3397.52,3623.683,3864.955,4068.216,4449.32,4653.684,4769.341,5001.803,4700.98,4630.459,4949.659,5022.059,4963.598,5072.355,5171.668,5552.169,5739.674,5962.84
San Marino,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,78519.163,68704.007,65840.917,60552.71,56661.904,55795.753,55940.328,56433.882,57964.812,59466.319,61169.212
Saudi Arabia,33411.699,33098.435,33177.314,33127.827,33792.546,33917.88,34432.658,32837.862,34624.335,34146.424,32885.905,36416.301,39421.878,41548.279,42573.23,43050.971,45109.245,43056.798,44163.134,48288.074,50383.676,51166.913,52639.142,54956.241,55291.984,54777.376,55859.253
Senegal,1229.103,1237.351,1227.844,1285.282,1301.232,1331.845,1392.125,1467.681,1511.778,1577.102,1571.126,1665.632,1764.784,1873.312,1926.27,2019.818,2077.468,2084.701,2137.95,2158.248,2229.35,2276.913,2342.19,2448.102,2571.881,2726.6,2900.625
Serbia,Nan,Nan,Nan,Nan,Nan,5992.763,6229.009,5576.295,6165.361,6632.1,7216.358,7705.207,8653.482,9455.118,10263.888,11202.834,12086.953,11846.666,12110.079,12628.403,12792.367,13398.265,13454.236,13773.477,14414.707,14999.998,15941.517
