adm0_name,mkt_name,cm_name,mp_price,date,um_name,Gradient
Philippines,Catarman,Rice (paddy),20838.82555917624,2008-2,KG,178.96925918521447
Philippines,Catarman,Rice (paddy),18534.887825361464,2008-3,KG,-2303.937733814775
Philippines,Catarman,Rice (paddy),15544.568120254995,2008-4,KG,-2990.319705106469
Philippines,Catarman,Rice (paddy),16027.753578596892,2008-5,KG,483.1854583418972
Philippines,Catarman,Rice (paddy),16078.215146579463,2008-6,KG,50.46156798257107
Philippines,Catarman,Rice (paddy),16043.912820165613,2008-7,KG,-34.302326413850096
Philippines,Catarman,Rice (paddy),17679.606629449383,2008-8,KG,1635.69380928377
Philippines,Catarman,Rice (paddy),17358.854889484945,2008-9,KG,-320.75173996443846
Philippines,Catarman,Rice (paddy),17464.484661194976,2008-10,KG,105.62977171003149
Philippines,Catarman,Rice (paddy),18215.735434574974,2008-11,KG,751.2507733799976
Philippines,Catarman,Rice (paddy),17734.722903007554,2008-12,KG,-481.0125315674195
Philippines,Catarman,Rice (paddy),17529.724278023208,2009-1,KG,-204.99862498434595
Philippines,Catarman,Rice (paddy),18347.658377589705,2009-2,KG,817.934099566497
Philippines,Catarman,Rice (paddy),17837.614823256125,2009-3,KG,-510.0435543335807
Philippines,Catarman,Rice (paddy),19771.52927982056,2009-4,KG,1933.9144565644347
Philippines,Catarman,Rice (paddy),17499.751834902345,2009-5,KG,-2271.7774449182143
Philippines,Catarman,Rice (paddy),17790.588209287806,2009-6,KG,290.83637438546066
Philippines,Catarman,Rice (paddy),17565.40195669551,2009-7,KG,-225.1862525922952
Philippines,Catarman,Rice (paddy),17657.515000292988,2009-8,KG,92.11304359747737
Philippines,Catarman,Rice (paddy),17544.308962367377,2009-9,KG,-113.20603792561087
Philippines,Catarman,Rice (paddy),17216.24803986674,2009-10,KG,-328.0609225006374
Philippines,Catarman,Rice (paddy),16798.61259392275,2009-11,KG,-417.6354459439899
Philippines,Catarman,Rice (paddy),15903.920213194244,2009-12,KG,-894.6923807285057
Philippines,Catarman,Rice (paddy),16699.175676108658,2010-1,KG,795.2554629144161
Philippines,Catarman,Rice (paddy),17494.431139023076,2010-2,KG,795.2554629144161
Philippines,Catarman,Rice (paddy),17225.318787613956,2010-3,KG,-269.1123514091196
Philippines,Catarman,Rice (paddy),17790.160787417015,2010-4,KG,564.8419998030586
Philippines,Catarman,Rice (paddy),17760.997112023102,2010-5,KG,-29.163675393912854
Philippines,Davao City,Rice (paddy),20373.943902666968,2008-2,KG,-448.9092912095912
Philippines,Davao City,Rice (paddy),16386.946105001076,2008-3,KG,-3986.997797665892
Philippines,Davao City,Rice (paddy),14492.288374848997,2008-4,KG,-1894.6577301520792
Philippines,Davao City,Rice (paddy),13396.764457668496,2008-5,KG,-1095.5239171805006
Philippines,Davao City,Rice (paddy),13481.909118799453,2008-6,KG,85.14466113095659
Philippines,Davao City,Rice (paddy),17495.850631945304,2008-7,KG,4013.941513145852
Philippines,Davao City,Rice (paddy),18642.147262597948,2008-8,KG,1146.2966306526432
Philippines,Davao City,Rice (paddy),21440.573208662856,2008-9,KG,2798.425946064908
Philippines,Davao City,Rice (paddy),21598.810011799884,2008-10,KG,158.2368031370279
Philippines,Davao City,Rice (paddy),22847.409404013175,2008-11,KG,1248.5993922132911
Philippines,Davao City,Rice (paddy),21890.07353899076,2008-12,KG,-957.3358650224145
Philippines,Davao City,Rice (paddy),19195.943160694704,2009-1,KG,-2694.1303782960567
Philippines,Davao City,Rice (paddy),18279.603264913185,2009-2,KG,-916.3398957815189
Philippines,Davao City,Rice (paddy),17213.23709093899,2009-3,KG,-1066.3661739741947
Philippines,Davao City,Rice (paddy),15877.709937905607,2009-4,KG,-1335.527153033383
Philippines,Davao City,Rice (paddy),16534.085852088083,2009-5,KG,656.3759141824758
Philippines,Davao City,Rice (paddy),18357.25138928735,2009-6,KG,1823.1655371992674
Philippines,Davao City,Rice (paddy),19750.63817476301,2009-7,KG,1393.3867854756609
Philippines,Davao City,Rice (paddy),21300.412383132632,2009-8,KG,1549.7742083696212
Philippines,Davao City,Rice (paddy),19449.511263749457,2009-9,KG,-1850.9011193831757
Philippines,Davao City,Rice (paddy),18700.63586162584,2009-10,KG,-748.8754021236164
Philippines,Davao City,Rice (paddy),18820.6678135616,2009-11,KG,120.03195193575812
Philippines,Davao City,Rice (paddy),18628.545303981784,2009-12,KG,-192.1225095798145
Philippines,Davao City,Rice (paddy),19666.07376962052,2010-1,KG,1037.5284656387375
Philippines,Davao City,Rice (paddy),17711.60338764544,2010-2,KG,-1954.470381975083
Philippines,Davao City,Rice (paddy),17919.200887185685,2010-3,KG,207.59749954024664
Philippines,Davao City,Rice (paddy),17802.941075339008,2010-4,KG,-116.25981184667762
Philippines,Davao City,Rice (paddy),19246.707897059256,2010-5,KG,1443.7668217202481
Philippines,Davao City,Rice (paddy),19824.794347917174,2010-6,KG,578.086450857918
Philippines,Davao City,Rice (paddy),19987.705648595456,2010-7,KG,162.91130067828271
Philippines,Davao City,Rice (paddy),18790.076578023138,2010-8,KG,-1197.6290705723186
Philippines,Davao City,Rice (paddy),18072.49268224956,2010-9,KG,-717.5838957735759
Philippines,Davao City,Rice (paddy),18235.40922430428,2010-10,KG,162.91654205471787
Philippines,Davao City,Rice (paddy),17973.25233475383,2010-11,KG,-262.1568895504497
Philippines,Davao City,Rice (paddy),18190.06739200725,2010-12,KG,216.8150572534214
Philippines,Davao City,Rice (paddy),18583.54280032041,2012-1,KG,30.26733910101225
Philippines,Davao City,Rice (paddy),16872.141080170128,2012-2,KG,-1711.401720150283
Philippines,Davao City,Rice (paddy),16863.701429284756,2012-3,KG,-8.43965088537152
Philippines,Davao City,Rice (paddy),16968.969841287122,2012-4,KG,105.26841200236595
Philippines,Davao City,Rice (paddy),17074.238253289488,2012-5,KG,105.26841200236595
Philippines,Davao City,Rice (paddy),17097.513078039283,2012-6,KG,23.27482474979479
Philippines,Davao City,Rice (paddy),16313.67131561463,2012-7,KG,-783.8417624246522
Philippines,Davao City,Rice (paddy),15884.758752823283,2012-8,KG,-428.9125627913472
Philippines,Davao City,Rice (paddy),17360.46250421868,2012-9,KG,1475.7037513953983
Philippines,Davao City,Rice (paddy),17405.724811656593,2012-10,KG,45.26230743791166
Philippines,Davao City,Rice (paddy),17497.5712655507,2012-11,KG,91.84645389410798
Philippines,Davao City,Rice (paddy),17662.51026464434,2012-12,KG,164.93899909363972
Philippines,Davao City,Rice (paddy),19135.909566623217,2013-1,KG,1473.3993019788759
Philippines,Davao City,Rice (paddy),19354.987406530632,2013-2,KG,219.07783990741518
Philippines,Davao City,Rice (paddy),18767.253865023453,2013-3,KG,-587.7335415071793
Philippines,Iloilo City,Rice (paddy),18688.199433851998,2008-2,KG,85.22750557813197
Philippines,Iloilo City,Rice (paddy),17473.151206887404,2008-3,KG,-1215.0482269645945
Philippines,Iloilo City,Rice (paddy),14141.592057079597,2008-4,KG,-3331.5591498078065
Philippines,Iloilo City,Rice (paddy),16945.373058287554,2008-5,KG,2803.781001207957
Philippines,Iloilo City,Rice (paddy),14513.079158859337,2008-6,KG,-2432.2938994282176
Philippines,Iloilo City,Rice (paddy),16395.404903151568,2008-7,KG,1882.3257442922313
Philippines,Iloilo City,Rice (paddy),18247.6817640947,2008-8,KG,1852.2768609431332
Philippines,Iloilo City,Rice (paddy),19439.68302989786,2008-9,KG,1192.0012658031592
Philippines,Iloilo City,Rice (paddy),19252.93460322581,2008-10,KG,-186.7484266720494
Philippines,Iloilo City,Rice (paddy),19500.894683026592,2008-11,KG,247.9600798007814
Philippines,Iloilo City,Rice (paddy),19162.285737305378,2008-12,KG,-338.6089457212147
Philippines,Iloilo City,Rice (paddy),18526.486462141285,2009-1,KG,-635.7992751640923
Philippines,Iloilo City,Rice (paddy),16842.723992551593,2009-2,KG,-1683.762469589692
Philippines,Iloilo City,Rice (paddy),17014.71264687796,2009-3,KG,171.9886543263674
Philippines,Iloilo City,Rice (paddy),16563.914157296476,2009-4,KG,-450.7984895814843
Philippines,Iloilo City,Rice (paddy),18928.853294455235,2009-5,KG,2364.939137158759
Philippines,Iloilo City,Rice (paddy),19330.958951277626,2009-6,KG,402.1056568223903
Philippines,Iloilo City,Rice (paddy),19533.938382876906,2009-7,KG,202.97943159928036
Philippines,Iloilo City,Rice (paddy),20803.81659068657,2009-8,KG,1269.8782078096629
Philippines,Iloilo City,Rice (paddy),20763.448221517352,2009-9,KG,-40.36836916921675
Philippines,Iloilo City,Rice (paddy),19511.74777851564,2009-10,KG,-1251.7004430017114
Philippines,Iloilo City,Rice (paddy),18791.668325405106,2009-11,KG,-720.0794531105348
Philippines,Iloilo City,Rice (paddy),17489.682272297305,2009-12,KG,-1301.9860531078011
Philippines,Iloilo City,Rice (paddy),17427.331902185877,2010-1,KG,-62.350370111427765
Philippines,Iloilo City,Rice (paddy),18623.513351766407,2010-2,KG,1196.1814495805302
Philippines,Iloilo City,Rice (paddy),17201.946577590057,2010-3,KG,-1421.56677417635
Philippines,Iloilo City,Rice (paddy),15645.008823782766,2010-4,KG,-1556.9377538072913
Philippines,Iloilo City,Rice (paddy),15517.731995483091,2010-5,KG,-127.27682829967489
Philippines,Iloilo City,Rice (paddy),16212.33182172042,2010-6,KG,694.5998262373287
Philippines,Iloilo City,Rice (paddy),15585.073882551676,2010-7,KG,-627.2579391687432
Philippines,Iloilo City,Rice (paddy),16501.620905255346,2010-8,KG,916.5470227036694
Philippines,Iloilo City,Rice (paddy),20118.4352500514,2010-9,KG,3616.814344796054
Philippines,Iloilo City,Rice (paddy),22168.207158393863,2010-10,KG,2049.7719083424636
Philippines,Iloilo City,Rice (paddy),23769.93548696549,2010-11,KG,1601.7283285716258
Philippines,Iloilo City,Rice (paddy),21529.461935288367,2010-12,KG,-2240.4735516771216
Philippines,Iloilo City,Rice (paddy),18519.016610041523,2012-1,KG,-231.57271732668036
Philippines,Iloilo City,Rice (paddy),18075.624827578387,2012-2,KG,-443.3917824631353
Philippines,Iloilo City,Rice (paddy),17016.8089649592,2012-3,KG,-1058.815862619187
Philippines,Iloilo City,Rice (paddy),16509.677618847436,2012-4,KG,-507.1313461117652
Philippines,Iloilo City,Rice (paddy),16002.54627273567,2012-5,KG,-507.1313461117652
Philippines,Iloilo City,Rice (paddy),15636.09982630012,2012-6,KG,-366.44644643554966
Philippines,Iloilo City,Rice (paddy),15733.540759939802,2012-7,KG,97.44093363968204
Philippines,Iloilo City,Rice (paddy),17142.434262860526,2012-8,KG,1408.8935029207241
Philippines,Iloilo City,Rice (paddy),18411.853167776266,2012-9,KG,1269.4189049157394
Philippines,Iloilo City,Rice (paddy),19213.59766927369,2012-10,KG,801.7445014974255
Philippines,Iloilo City,Rice (paddy),18624.35786814353,2012-11,KG,-589.239801130163
Philippines,Iloilo City,Rice (paddy),18004.365302024562,2012-12,KG,-619.9925661189664
Philippines,Iloilo City,Rice (paddy),18851.712889891198,2013-1,KG,847.3475878666359
Philippines,Iloilo City,Rice (paddy),18469.114196522984,2013-2,KG,-382.5986933682143
Philippines,Iloilo City,Rice (paddy),18532.500168310162,2013-3,KG,63.38597178717828
Philippines,Koronadal,Rice (paddy),16592.050682187713,2008-2,KG,-1166.04279013427
Philippines,Koronadal,Rice (paddy),15218.952797445763,2008-3,KG,-1373.09788474195
Philippines,Koronadal,Rice (paddy),13754.767337961008,2008-4,KG,-1464.1854594847555
Philippines,Koronadal,Rice (paddy),12779.757459042425,2008-5,KG,-975.0098789185831
Philippines,Koronadal,Rice (paddy),12397.24148451159,2008-6,KG,-382.5159745308338
Philippines,Koronadal,Rice (paddy),15353.737880846775,2008-7,KG,2956.496396335184
Philippines,Koronadal,Rice (paddy),17612.739735994586,2008-8,KG,2259.0018551478115
Philippines,Koronadal,Rice (paddy),19486.714521099224,2008-9,KG,1873.9747851046377
Philippines,Koronadal,Rice (paddy),18274.692712487533,2008-10,KG,-1212.021808611691
Philippines,Koronadal,Rice (paddy),18753.072763028515,2008-11,KG,478.38005054098176
Philippines,Koronadal,Rice (paddy),18284.8398615942,2008-12,KG,-468.23290143431586
Philippines,Koronadal,Rice (paddy),16623.42560786691,2009-1,KG,-1661.4142537272892
Philippines,Koronadal,Rice (paddy),14826.056077679284,2009-2,KG,-1797.369530187625
Philippines,Koronadal,Rice (paddy),15190.60353815755,2009-3,KG,364.54746047826484
Philippines,Koronadal,Rice (paddy),15134.949509461665,2009-4,KG,-55.654028695884335
Philippines,Koronadal,Rice (paddy),14756.547493214952,2009-5,KG,-378.4020162467132
Philippines,Koronadal,Rice (paddy),15459.943465712984,2009-6,KG,703.3959724980323
Philippines,Koronadal,Rice (paddy),15967.524264286309,2009-7,KG,507.5807985733245
Philippines,Koronadal,Rice (paddy),18144.79573377965,2009-8,KG,2177.271469493342
Philippines,Koronadal,Rice (paddy),18482.08939688144,2009-9,KG,337.293663101791
Philippines,Koronadal,Rice (paddy),17143.34931845587,2009-10,KG,-1338.7400784255733
Philippines,Koronadal,Rice (paddy),16891.679699706252,2009-11,KG,-251.66961874961635
Philippines,Koronadal,Rice (paddy),16084.888515486276,2009-12,KG,-806.7911842199755
Philippines,Koronadal,Rice (paddy),16590.45807949817,2010-1,KG,505.5695640118938
Philippines,Koronadal,Rice (paddy),16021.101005668046,2010-2,KG,-569.3570738301241
Philippines,Koronadal,Rice (paddy),15367.072275980454,2010-3,KG,-654.0287296875922
Philippines,Koronadal,Rice (paddy),15714.454011966964,2010-4,KG,347.38173598650974
Philippines,Koronadal,Rice (paddy),16151.513008700013,2010-5,KG,437.05899673304884
Philippines,Koronadal,Rice (paddy),16356.716456265005,2010-6,KG,205.20344756499253
Philippines,Koronadal,Rice (paddy),16102.947810937405,2010-7,KG,-253.7686453276001
Philippines,Koronadal,Rice (paddy),15434.70576051901,2010-8,KG,-668.2420504183956
Philippines,Koronadal,Rice (paddy),17719.922377032264,2010-9,KG,2285.216616513255
Philippines,Koronadal,Rice (paddy),17058.514019047758,2010-10,KG,-661.4083579845064
Philippines,Koronadal,Rice (paddy),16671.740958788898,2010-11,KG,-386.7730602588599
Philippines,Koronadal,Rice (paddy),15646.491579654732,2010-12,KG,-1025.2493791341658
Philippines,Koronadal,Rice (paddy),15677.474378871128,2012-1,KG,2.383292247415039
Philippines,Koronadal,Rice (paddy),15157.492596413003,2012-2,KG,-519.9817824581241
Philippines,Koronadal,Rice (paddy),14634.645523684932,2012-3,KG,-522.847072728071
Philippines,Koronadal,Rice (paddy),14668.996455448074,2012-4,KG,34.35093176314149
Philippines,Koronadal,Rice (paddy),14703.347387211215,2012-5,KG,34.35093176314149
Philippines,Koronadal,Rice (paddy),14056.526066308492,2012-6,KG,-646.8213209027235
Philippines,Koronadal,Rice (paddy),13774.237777488897,2012-7,KG,-282.2882888195945
Philippines,Koronadal,Rice (paddy),14833.090787034756,2012-8,KG,1058.853009545859
Philippines,Koronadal,Rice (paddy),16359.538977389931,2012-9,KG,1526.448190355175
Philippines,Koronadal,Rice (paddy),15576.358528440072,2012-10,KG,-783.180448949859
Philippines,Koronadal,Rice (paddy),14986.008028506201,2012-11,KG,-590.3504999338711
Philippines,Koronadal,Rice (paddy),15221.872482620756,2012-12,KG,235.86445411455497
Philippines,Koronadal,Rice (paddy),16935.401541490563,2013-1,KG,1713.5290588698062
Philippines,Koronadal,Rice (paddy),16603.779720315553,2013-2,KG,-331.62182117500925
Philippines,Koronadal,Rice (paddy),15513.826493425437,2013-3,KG,-1089.9532268901166
Philippines,Legazpi,Rice (paddy),16539.792254842243,2008-2,KG,-2145.4937085124766
Philippines,Legazpi,Rice (paddy),16500.920227833387,2008-3,KG,-38.872027008856094
Philippines,Legazpi,Rice (paddy),14779.558616045591,2008-4,KG,-1721.3616117877955
Philippines,Legazpi,Rice (paddy),15059.999122358679,2008-5,KG,280.4405063130871
Philippines,Legazpi,Rice (paddy),13822.812299407266,2008-6,KG,-1237.186822951413
Philippines,Legazpi,Rice (paddy),20243.889998219434,2008-7,KG,6421.077698812169
Philippines,Legazpi,Rice (paddy),21128.89467421492,2008-8,KG,885.0046759954857
Philippines,Legazpi,Rice (paddy),22795.779251097207,2008-9,KG,1666.8845768822866
Philippines,Legazpi,Rice (paddy),22747.05105734012,2008-10,KG,-48.728193757087865
Philippines,Legazpi,Rice (paddy),21441.118605958403,2008-11,KG,-1305.9324513817155
Philippines,Legazpi,Rice (paddy),20614.215797334342,2008-12,KG,-826.9028086240614
Philippines,Legazpi,Rice (paddy),18639.539011109347,2009-1,KG,-1974.6767862249944
Philippines,Legazpi,Rice (paddy),17207.336034289787,2009-2,KG,-1432.2029768195607
Philippines,Legazpi,Rice (paddy),17213.23709093899,2009-3,KG,5.901056649203383
Philippines,Legazpi,Rice (paddy),18117.910467326477,2009-4,KG,904.6733763874872
Philippines,Legazpi,Rice (paddy),18914.28142894757,2009-5,KG,796.3709616210908
Philippines,Legazpi,Rice (paddy),20018.004342114637,2009-6,KG,1103.7229131670683
Philippines,Legazpi,Rice (paddy),19232.488716474483,2009-7,KG,-785.5156256401533
Philippines,Legazpi,Rice (paddy),19043.73759559038,2009-8,KG,-188.75112088410242
Philippines,Legazpi,Rice (paddy),22129.22170453272,2009-9,KG,3085.484108942339
Philippines,Legazpi,Rice (paddy),19052.647830785856,2009-10,KG,-3076.5738737468637
Philippines,Legazpi,Rice (paddy),18520.56604888066,2009-11,KG,-532.0817819051954
Philippines,Legazpi,Rice (paddy),18246.638908228168,2009-12,KG,-273.9271406524931
Philippines,Legazpi,Rice (paddy),18634.034912905743,2010-1,KG,387.39600467757555
Philippines,Legazpi,Rice (paddy),18022.33327163921,2010-2,KG,-611.7016412665325
Philippines,Legazpi,Rice (paddy),18440.48673117654,2010-3,KG,418.1534595373305
Philippines,Legazpi,Rice (paddy),18816.77598851321,2010-4,KG,376.28925733666983
Philippines,Legazpi,Rice (paddy),18706.1499516873,2010-5,KG,-110.62603682590998
Philippines,Legazpi,Rice (paddy),18976.205364759106,2010-6,KG,270.05541307180465
Philippines,Legazpi,Rice (paddy),19311.42989356779,2010-7,KG,335.22452880868514
Philippines,Legazpi,Rice (paddy),17144.980954229053,2010-8,KG,-2166.4489393387375
Philippines,Legazpi,Rice (paddy),18821.46782027065,2010-9,KG,1676.486866041596
Philippines,Legazpi,Rice (paddy),18688.814892663046,2010-10,KG,-132.6529276076035
Philippines,Legazpi,Rice (paddy),19605.8591972781,2010-11,KG,917.044304615054
Philippines,Legazpi,Rice (paddy),19012.37753131857,2010-12,KG,-593.4816659595308
Philippines,Legazpi,Rice (paddy),19379.55644310715,2012-3,KG,24.478594119238792
Philippines,Legazpi,Rice (paddy),18579.479790124744,2012-4,KG,-800.0766529824068
Philippines,Legazpi,Rice (paddy),17779.403137142337,2012-5,KG,-800.0766529824068
Philippines,Legazpi,Rice (paddy),17346.946292705637,2012-6,KG,-432.4568444366996
Philippines,Legazpi,Rice (paddy),17926.673797455398,2012-7,KG,579.7275047497606
Philippines,Legazpi,Rice (paddy),18506.40130220516,2012-8,KG,579.7275047497606
Philippines,Legazpi,Rice (paddy),19086.12880695492,2012-9,KG,579.7275047497606
Philippines,Legazpi,Rice (paddy),18814.205884017814,2012-10,KG,-271.9229229371049
Philippines,Legazpi,Rice (paddy),19295.63457044625,2012-11,KG,481.4286864284368
Philippines,Legazpi,Rice (paddy),19676.531365849973,2012-12,KG,380.8967954037198
Philippines,Legazpi,Rice (paddy),20057.42816125369,2013-1,KG,380.8967954037198
